8997,18665,1,1338441596000
4959,18662,1,1357848470000
14451,18662,1,1357848461000
11060,18665,1,1338528045000
18280,18630,1,1338614398000
9845,18665,1,1338614398000
9842,18665,1,1338614398000
3232,18665,1,1338700795000
330,18665,1,1338700795000
5417,18662,1,1395050885000
15276,18662,1,1338787223000
18270,18665,1,1338787223000
15752,18662,1,1338787223000
11395,18661,1,1390162153000
15675,18661,1,1339132874000
9196,18660,1,1360597324000
9196,18661,1,1339132874000
3153,18664,1,1339219201000
14895,18662,1,1339305608000
13086,18665,1,1385691965000
17398,18631,1,1339392040000
2729,18664,1,1339392040000
7161,18664,1,1339478548000
18212,18661,1,1379665082000
2182,18661,1,1339565030000
8352,18664,1,1339565030000
4330,18660,1,1339651436000
8528,18664,1,1339651436000
11483,18662,1,1339737840000
16536,18665,1,1339737840000
7004,18661,1,1339737840000
10609,18665,1,1339737840000
6124,18664,1,1339737840000
9276,18661,1,1339824216000
5691,18661,1,1339824216000
18030,18664,1,1339910579000
7629,18665,1,1339910579000
9421,18665,1,1339910579000
1599,18662,1,1339910579000
5454,18661,1,1339996921000
1073,18660,1,1360597324000
12642,18665,1,1339996921000
7516,18665,1,1339996921000
17903,18577,1,1379365417000
16351,18660,1,1339996921000
698,18662,1,1339996921000
10221,18660,1,1340083417000
13637,18718,1,1340083417000
16049,18661,1,1340083417000
9156,18662,1,1340169799000
801,18665,1,1340169799000
14489,18665,1,1340342649000
15209,18582,1,1340429017000
18160,18660,1,1360597248000
10782,18662,1,1340429017000
6166,18664,1,1344304565000
50,18661,1,1340515408000
12263,18661,1,1346107505000
4314,18671,1,1386122885000
13389,18665,1,1340601734000
10162,18664,1,1344304563000
10461,18661,1,1340688177000
561,18661,1,1346107505000
16954,18665,1,1346107505000
9737,18662,1,1340860978000
738,18661,1,1340860978000
10118,18664,1,1344304565000
11558,18660,1,1360597264000
804,18662,1,1340860978000
10290,18662,1,1340860978000
15503,18662,1,1340860978000
15392,18662,1,1340947397000
2765,18642,1,1340947397000
4566,18677,1,1340947397000
3761,18664,1,1360597803000
11127,18582,1,1341033758000
5777,18662,1,1395050765000
17974,18662,1,1341120133000
6393,18631,1,1341120133000
12084,18664,1,1360597803000
7098,18665,1,1341120133000
6514,18662,1,1341206534000
10944,18661,1,1341206534000
2908,18661,1,1341206534000
14199,18656,1,1341206534000
12928,18661,1,1341292880000
11405,18665,1,1341292880000
9418,18661,1,1390162266000
4147,18568,1,1379449985000
2383,18662,1,1341379407000
8441,18662,1,1341379407000
8608,18661,1,1341379407000
16933,18575,1,1342391523000
2129,18662,1,1341465758000
11311,18661,1,1341465758000
11142,18662,1,1341465758000
